,論文の発行年,論文が発行された媒体,媒体の巻号,論文タイトル,著者,媒体のページ数
125,2017,建築生産シンポジウム論文集,,多様化する発注契約方式の実態に関する研究-ヒアリング調査を通して-,"伊井夏穂 (芝浦工大 大学院理工学部研究科), 志手一哉 (芝浦工大 建築)",
126,2017,建築生産シンポジウム論文集,,タイにおける建築外皮に用いるガラス材の選定要因,"佐々木留美子 (首都大学東京 都市環境), 一ノ瀬雅之 (首都大学東京 大学院都市環境学科学研究科)",
127,2017,建築生産シンポジウム論文集,,ミャンマー・スキルズトレーニングセンターにおけるマネジメントコースのビルディング建設工事の教育カリキュラムに関する研究,"三原斉 (ものつくり大), 深井和宏 (ものつくり大), 吉田倬郎, 浦江真人 (東洋大)",
128,2017,建築生産シンポジウム論文集,,N県の公営住宅に関する実態調査~高齢化と老朽化に向けて~,"TIAN Yiwei (早稲田大), 小松幸夫 (早稲田大 創造理工学術院), 平井健嗣 (早稲田大 創造理工学術院 総合研), YI Sang-Jun (関東学院大 建築環境)",
129,2017,建築生産シンポジウム論文集,,熊本地震における木造応急仮設住宅に関する研究,"太田巧巳 (芝浦工大 大学院理工学研究科), 蟹澤宏剛 (芝浦工大 建築)",
130,2017,建築生産シンポジウム論文集,,公共工事の総合評価発注方式における現状とこれからの課題,"吉田敏 (首都大学東京), 吉田敏 (産業技術大学院大)",
131,2017,建築生産シンポジウム論文集,,大規模コンベンション施設における省エネルギー施策の立案と実施~沖縄コンベンションセンターにおけるケーススタディー~,"馬郡文平 (東大 生産技研), 野城智也 (東大 生産技研), 森下有 (東大 生産技研)",
132,2017,建築生産シンポジウム論文集,,中国および東南アジア各国のBIM推進方針や進捗の状況 4th Government BIM Symposiumにおける発表に基づく最新動向,"武藤正樹 (建築研), 高橋暁 (建築研)",
133,2017,建築生産シンポジウム論文集,,建築における組み込みシステムの「世代管理問題」に関する考察,野城智也 (東大 生産技研),
134,2017,建築生産シンポジウム論文集,,施工実験に基づく被災地地元業者主体による規格型応急仮設住宅供給のための内装モデルの検討,"阪田弘一 (京都工繊大 大学院), 山隈直人 (京都工繊大 大学院)",
135,2017,建築生産シンポジウム論文集,,熱可塑性樹脂を用いた炭素繊維ストランドロッドの実用化に関する研究-fa-bo(ファーボ)耐震補強対応を事例とした施工生産性の検討-,"井本悠介 (立命館大 大学院), 持田泰秀 (立命館大)",
136,2017,建築生産シンポジウム論文集,,プレカットを用いた木造軸組住宅(四号建築物)に関する研究 全国建設労働組合傘下の工務店の実態調査,"中野晃吉 (芝浦工大 大学院理工学研究科), 渡部恒也 (芝浦工大 大学院理工学研究科), 村上淳史 (村上木構造デザイン室), 藤田譲 (中国木材), 蟹澤宏剛 (芝浦工大 工)",
137,2017,建築生産シンポジウム論文集,,SI分離による工事費と建物用途との関連性に関する考察(S造),"橋本真一 (建設物価調査会 総合研), 丸木健 (建設物価調査会 総合研)",
138,2017,建築生産シンポジウム論文集,,空家の実態調査からみた空家発生要因について,"長井譲 (前橋工科大 大学院), 堤洋樹 (前橋工科大), 井海航也 (前橋工科大 大学院), 秋葉芳 (前橋工科大 大学院)",
139,2017,建築生産シンポジウム論文集,,シンガポール建設プロジェクトにおける諸制度運用に関する研究-建設プロジェクト主体者へのヒアリング調査を通じて-,"西夏実 (芝浦工大 大学院理工学研究科), 志手一哉 (芝浦工大 建築), 蟹澤宏剛 (芝浦工大 建築), 安藤正雄, 井上淳 (野原産業), 前川剛範 (芝浦工大 大学院理工学研究科)",
140,2017,建築生産シンポジウム論文集,,英・米における建築生産・調達方式の多様化とその背景に関する一考察,平野吉信,
141,2017,建築生産シンポジウム論文集,,「建築生産概観」;ワルター・グロピウス「Der Bau」の視点-建築論から環境建築論へ-,津島光 (近畿大 総合社会),
142,2017,建築生産シンポジウム論文集,,ミャンマーにおける木造建築技術教育に関する研究,"深井和宏 (ものつくり大), 三原斉 (ものつくり大), 吉田卓郎, 浦江真人 (東洋大)",
143,2017,建築生産シンポジウム論文集,,公開情報による公開情報マネジメントに資する現状把握の可能性-千葉県を分析対象として-,"今井千弥 (関東学院大), YI Sangjun (関東学院大 建築環境)",
144,2017,建築生産シンポジウム論文集,,建築修繕履歴から考える適正修繕計画の策定に関する研究,"秋葉芳 (前橋工科大 大学院), 堤洋樹 (前橋工科大)",
145,2017,建築生産シンポジウム論文集,,建築プロジェクトにおける建築主の「ものを決める行為」に関する研究-設計と施工の連携に着目して-,"田村篤 (京大 大学院工学研究科), 金多隆 (京大 大学院工学研究科), 古阪秀三 (立命館大 グローバルMOT研究セ)",
146,2017,建築生産シンポジウム論文集,,既存建築物の長期使用に資する改修手法に関する研究-既存学校施設の減築改修工事事例-,"平井健嗣 (早稲田大 理工学術院 理工学総合研), 小松幸夫 (早稲田大 理工学術院)",
147,2017,建築生産シンポジウム論文集,,公共施設等総合管理計画に基づく個別施設計画策定に係る市民参加手法に関する研究,"上森貞行 (岩手県大 大学院総合政策研究科), 齋藤俊明 (岩手県大 大学院総合政策研究科)",
148,2017,建築生産シンポジウム論文集,,個人の住宅調達における住まいづくり支援のあり方および可能性に関する研究~住まいづくり支援事業者に対するヒアリングおよびアンケート調査を通して~,"百道千紘 (早稲田大 院理工学術院), 平井健嗣 (早稲田大 理工学術院 総合研), YI Sangjun (関東学院大 建築環境), 小松幸夫 (早稲田大 理工学術院)",
149,2017,建築生産シンポジウム論文集,,RC一貫生産システムに関する研究 鉄筋工事用BIMツールの開発と適用,"松田耕 (竹中工務店 竹中技研), 多葉井宏 (竹中工務店 竹中技研)",
150,2017,建築生産シンポジウム論文集,,建築作業における運搬速度特性の分析 枠組足場施工実験における1人作業と組作業の運搬速度分布の比較,石岡宏晃 (清水建設 技研),
151,2017,建築生産シンポジウム論文集,,可変的要素と受発注手続きの歴史的意義,藤尾直史 (東大),
152,2017,建築生産シンポジウム論文集,,鉄筋工事におけるICTの活用に関する考察,"田中大士 (芝浦工大 大学院理工学研究科), 志手一哉 (芝浦工大 建築), 曽根巨充 (前田建設工業)",
153,2017,建築生産シンポジウム論文集,,住民参加による公共施設の劣化評価手法に関する研究,"井海航也 (前橋工科大), 堤洋樹 (前橋工科大), 秋葉芳 (前橋工科大), 長井譲 (前橋工科大)",
154,2017,建築生産シンポジウム論文集,,投資用不動産の建築的要件と収益及び費用に関する研究,"商崎雅人 (早稲田大 理工学術院), 小松幸夫 (早稲田大 理工学術院), 板谷敏正 (プロパティデータバンク)",
155,2017,建築生産シンポジウム論文集,,建設実験に基づく被災地地元業者主体による規格型応急仮設住宅供給のための施工環境の検討,"山隈直人 (京都工繊大 大学院), 阪田弘一 (京都工繊大)",
156,2017,建築生産シンポジウム論文集,,公共施設管理における将来負担軽減のための目標レベル設定に関する一考察,"水出有紀 (前橋工科大), 堤洋樹 (前橋工科大), 松村俊英 (前橋工科大), 右井慎太郎 (協和建築積算事務所)",
157,2017,建築生産シンポジウム論文集,,公共施設マネジメントの視点における一部事務組合等の広域化による効果について,"池澤龍三 (建築保全セ), 池澤龍三 (前橋工科大), 堤洋樹 (前橋工科大), 讃岐亮 (首都大学東京)",
158,2017,建築生産シンポジウム論文集,,東南アジア大陸部における住居形態の変容に関する研究 ラオスにおける住居の変遷から,"原佑介 (芝浦工大 大学院理工学研究科), 蟹澤宏剛 (芝浦工大 建築), 清水郁郎 (芝浦工大 建築), 志手一哉 (芝浦工大 建築)",
159,2016,建築生産シンポジウム論文集,,公共施設マネジメントの視点における学校管理諸室と開放諸室の関係性について,"池澤龍三 (建築保全セ), 池澤龍三 (前橋工科大), 堤洋樹 (前橋工科大), 水出有紀 (前橋工科大), 橋本直子 (前橋工科大)",
160,2016,建築生産シンポジウム論文集,,3次元モデルと大学施設の維持・管理の連携手法に関する研究,石田航星 (工学院大 建築),
161,2016,建築生産シンポジウム論文集,,京都駅ビルを100年維持するために,高浦敬之 (京都駅ビル開発),
162,2016,建築生産シンポジウム論文集,,鉄骨ファブリケーターにおけるBIMの活用に関する調査研究,"三原斉 (ものつくり大), 吉田倬郎, 浦江真人 (東洋大), 熊谷和彦 (東京鐡骨橋梁), 播磨裕敏 (東京鐡骨橋梁)",
163,2016,建築生産シンポジウム論文集,,住まい手と事業者双方の視点からみた既存住宅購入とリフォームに関する制度,伊丹絵美子 (大阪大 大学院工学研究科),
164,2016,建築生産シンポジウム論文集,,大臣認定に基づく特殊な技術的知識の所在についての一考察,"小笠原正豊 (東大 生産技研), 野城智也 (東大 生産技研)",
165,2016,建築生産シンポジウム論文集,,公共施設マネジメントに関する研究 T市における住民意識調査,"篠原利沙子 (早稲田大 大学院創造理工学研究科), 平井健嗣 (早稲田大 理工学術院 総合研), YI Sangjun (関東学院大 建築環境), 小松幸夫 (早稲田大 理工学術院)",
166,2016,建築生産シンポジウム論文集,,エージェントベースモデルを用いた工程シミュレーションに関する研究,"志手一哉 (芝浦工大 工), 千葉優斗 (芝浦工大 工), 田村祐也 (芝浦工大 工), 橋本圭介 (東京工大), 出口弘 (東京工大), 市川学 (国立保健医療科学院)",
